Object ID,Código SIG,ID Tipo,Morada,Designação,Tipologia,MOBILIDADE_REDUZIDA,GlobalID,x,y
449,1221,4,Castelo de São Jorge,Poço 5,Poço,,8dec5da0-6856-4f03-9b58-6d4df4b58ec6,-1016756.84360303,4680776.05545786
450,1201,4,"Pátio do Sequeira(Largo de Santa Cruz ao Castelo, 7)",Tanque com bica 1,Tanque,,57ca8889-ecda-47fa-9ade-79716f9a9144,-1016679.41454043,4680717.78773997
451,104,4,"Rua Nova do Calhariz, frente ao Posto de Limpeza nº 1",Chafariz da Boa Hora,Chafariz,,f7112ccb-49b1-4897-940b-28ecfa35b614,-1023495.65225578,4679240.28158762
452,105,4,"Largo do Rio Seco, frente ao nº 12",Chafariz do Rio Seco,Chafariz,,1243994d-dfd0-4737-930a-e0bf965aeabc,-1023188.27394705,4679365.46747785
453,1208,4,Castelo de São Jorge,Tanque com bica 8,Tanque,,6221f8e9-96e0-4dcc-a73f-87e096ffad3a,-1016697.58965472,4680749.28916885
454,1220,4,Castelo de São Jorge,Poço 4,Poço,,139d700e-b876-425f-bd51-d94d0874827c,-1016756.42754423,4680779.91693413
455,1211,4,Castelo de São Jorge,Tanque com bica 11,Tanque,,58db2c43-c7e7-4d5c-9026-fd918f1ebf35,-1016771.13213558,4680834.53598969
456,1241,4,Castelo de São Jorge,Fontanário 6,Fontanário,,77167f2c-d803-42cb-a64a-623614346467,-1016796.20048032,4680587.76764615
457,111,4,"Pátio Seabra(Largo da Ajuda, 17)",Reservatório no Pátio do Seabra,Reservatório,,f17232e5-f194-4992-b33b-240487491417,-1023526.39169796,4679873.87433047
458,1107,4,Estrada da Circunvalação,Lago 1 do Cemitério de Carnide,Lago,,e8eefbe4-b72c-488f-b816-08bbf0dfb253,-1022328.53105615,4689333.72799948
459,1233,4,Castelo de São Jorge,Lago 9,Lago,,a19e3d92-db2b-479e-94df-57415124c03a,-1016723.01076494,4680605.75643457
460,1228,4,Castelo de São Jorge,Lago 4,Lago,,90e19f7e-80a4-4367-86c6-ad8ad3596f39,-1016714.53912037,4680609.2819549
461,114,4,"Rua do Sítio ao Casalinho da Ajuda, Rua do Cruzeiro",Reservatório na Rua do Sítio ao Casalinho da Ajuda,Reservatório,,fa0179d3-2b7a-4a96-8db3-0b8119bbb143,-1023613.34404157,4680205.6464121
462,1110,4,Alameda Roentgen(antiga Alameda Central à Quinta dos Inglesinhos),Lagos na Alameda Roentgen,Lago,,339af1e4-8e99-4011-bd4a-8834f7deb093,-1021760.26972743,4687665.11944155
463,1214,4,Castelo de São Jorge,Tanque com bica 14,Tanque,,32630863-2a6f-42af-a751-bfeaa54204ea,-1016556.95001158,4680825.45018094
464,1223,4,Castelo de São Jorge,Poço 7,Poço,,b76adf95-a9e3-4c4c-b8d0-3e86bc0da046,-1016747.60611791,4680829.37797923
465,1224,4,Castelo de São Jorge,Fontanário,Fontanário,,47753dd8-837b-491f-9607-26a50faef619,-1016771.0560323,4680666.98041266
466,1225,4,Castelo de São Jorge,Lago 1,Lago,,846b96ab-07ab-498f-a6dd-4a6c57371bd6,-1016580.19103206,4680767.2830402
467,113,4,Calçada do Mirante à Ajuda,Reservatório do Palácio da Ajuda,Reservatório,,8804d676-3696-4ec8-9c62-5be26f82d39f,-1023927.99905251,4679985.68343699
468,4104,4,Parada do Alto de São João,Chafariz do Cemitério do Alto de São João,Chafariz,,5161b2ac-d206-443b-8ede-0e50a3facf8a,-1015136.62352081,4682762.77131233
469,1109,4,Estrada da Circunvalação,Lago 2 do Cemitério de Carnide,Lago,,ae7ddbcb-124a-4a96-829a-773b9ebe402e,-1022676.9152193,4689504.45661065
470,1215,4,Castelo de São Jorge,Tanque com bica 15,Tanque,,71509267-2a00-4841-bc44-b53ec599bd90,-1016648.1020492,4680836.7457396
471,1222,4,Castelo de São Jorge,Poço 6,Poço,,00c6a5aa-8611-41bc-b1ba-7f02cc556495,-1016695.27467711,4680812.28317942
472,1206,4,Castelo de São Jorge,Tanque com bica 6,Tanque,,c5015b14-0c00-4877-86b7-4c03a4bf1d3a,-1016743.792681,4680589.526729
473,124,4,Calçada do Galvão,Bebedouro na Calçada do Galvão - frente ao Cemitério da Ajuda,Bebedouro,SIM,c90fa6e1-47e3-4cd8-803b-7f38a56e6638,-1024506.54226581,4680143.75127141
474,121,4,Largo da Memória,Bebedouro no Largo da Memória - junto à igreja,Bebedouro,NÃO,70bfbcf7-0e76-4fd8-befa-8ea7d74a878a,-1024359.12770802,4679183.65126196
475,130,4,Calçada do Mirante à Ajuda,Lago dos Mosaicos no Jardim das Damas - Palácio da Ajuda,Lago,,30e78144-c94a-45b4-80ee-499bc74792cd,-1024044.2734238,4679964.35748609
476,2308,4,Avenida Barbosa du Bocage,Fonte no Jardim do Palácio das Galveias,Fonte,,a2365656-3d74-4532-92d2-3ae48a8094aa,-1017824.73294068,4684662.56876596
477,236,4,Estrada do Alvito,Bebedouro 4 no Parque do Alvito,Bebedouro,NÃO,9a7dfdc3-aaf4-4adc-a860-60c7224dee50,-1022670.45956857,4681560.77086625
478,119,4,Rua Maria Teresa de Noronha(Bairro do Caramão da Ajuda),Bebedouro no Parque Infantil do Largo Oriental,Bebedouro,NÃO,0f2e60ce-6ac5-429e-ac4a-49c0efdf37bd,-1024739.06989862,4680805.09597467
479,117,4,Travessa da Boa-Hora à Ajuda,Bebedouro na Travessa da Boa Hora à Ajuda - frente ao n.º 4 ,Bebedouro,NÃO,12679cf0-fa2f-4a37-a6fb-a109d4094fd4,-1023587.81054053,4679325.05382735
480,2702,4,Travessa D. Pedro de Menezes,Tanque e Percurso de Água na Travessa D. Pedro de Menezes,Tanque,,1603d1fa-0613-47e9-aefe-f95fe6aaa529,-1017458.06385688,4680456.20375666
481,126,4,Calçada do Mirante à Ajuda,Lago Pequeno no Jardim das Damas - Palácio da Ajuda,Lago,,1024376f-3b2c-4e51-b79b-a60d48c88600,-1024057.59007766,4680010.03119357
482,127,4,Calçada do Mirante à Ajuda,Cascata Pequena no Jardim das Damas - Palácio da Ajuda,Cascata,,2c3806d0-e3b0-4a5a-ae85-17d342e092ee,-1024007.25985718,4680009.18654513
483,128,4,Calçada do Mirante à Ajuda,Lago Oval no Jardim das Damas - Palácio da Ajuda,Lago,,97c4a0dc-a2c5-4894-b960-e209b1e22a20,-1024046.41947789,4679993.50052618
484,129,4,Calçada do Mirante à Ajuda,Cascata Grande no Jardim das Damas - Palácio da Ajuda,Cascata,,998bff67-be83-449e-a773-a98b59edf4a1,-1023963.38923322,4679988.44696323
485,868,4,Rua 7 do Cemitério de Benfica,Bica 39 no Cemitério de Benfica,Bica,,e573a61d-24e2-4749-8bfe-473d06b8089f,-1024094.8682341,4687086.25182272
486,1893,4,Rua 24 do Cemitério do Lumiar,Tanque no Cemitério do Lumiar,Tanque,,b136c2ed-ce98-4510-95e5-b5f4b2257d01,-1020719.46568306,4689216.74070273
